bairro,precos,quartos,areas
Batel,2800.0,3,154
Batel,6500.0,4,418
Batel,3800.0,,133
Batel,1200.0,1,37
Batel,4900.0,5,225
Batel,7200.0,4,240
Batel,6900.0,1,65
Batel,1400.0,2,50
Batel,1900.0,1,31
Batel,1600.0,,125
Batel,2000.0,3,801
Batel,2550.0,2,136
Batel,2400.0,4,190
Batel,2500.0,4,270
Batel,2100.0,3,130
Batel,6990.0,3,260
Batel,9600.0,3,300
Batel,1800.0,1,30
Batel,2300.0,1,29
Batel,2000.0,1,29
Batel,2000.0,1,29
Batel,1190.0,2,91
Batel,1350.0,3,165
Batel,1500.0,3,131
Batel,1350.0,2,69
Batel,890.0,2,88
Bigorrilho,702.0,1,30
Bigorrilho,2600.0,2,56
Bigorrilho,1750.0,2,102
Bigorrilho,1750.0,2,102
Bigorrilho,1450.0,2,57
Bigorrilho,2670.0,3,123
Bigorrilho,2670.0,3,123
Bigorrilho,1750.0,2,102
Bigorrilho,3500.0,2,67
Bigorrilho,2800.0,2,67
Bigorrilho,2670.0,3,123
Bigorrilho,2800.0,2,67
Bigorrilho,2800.0,2,67
Bigorrilho,1750.0,2,102
Bigorrilho,2670.0,3,123
Bigorrilho,2670.0,3,123
Bigorrilho,3000.0,2,64
Bigorrilho,2750.0,2,64
Bigorrilho,800.0,1,59
Bigorrilho,1000.0,2,56
Bigorrilho,1500.0,2,75
Bigorrilho,2800.0,2,67
Bigorrilho,2300.0,3,121
Bigorrilho,3800.0,4,185
Bigorrilho,2120.0,3,94
Bigorrilho,2800.0,2,67
Bigorrilho,3500.0,3,165
Bigorrilho,1900.0,3,93
Bigorrilho,2300.0,3,121
Bigorrilho,1450.0,2,57
Bigorrilho,2850.0,3,151
Bigorrilho,6000.0,4,260
Bigorrilho,3500.0,3,165
Bigorrilho,2800.0,2,67
Bigorrilho,2500.0,2,61
Bigorrilho,1350.0,1,34
Bigorrilho,1600.0,2,70
Bigorrilho,5000.0,4,423
Bigorrilho,1150.0,2,87
Bigorrilho,1350.0,1,34
Bigorrilho,800.0,,22
Bigorrilho,560.0,1,31
Bigorrilho,1080.0,2,64
Bigorrilho,3500.0,2,67
Bigorrilho,2750.0,1,80
Bigorrilho,3600.0,1,67
Bigorrilho,2800.0,1,37
Bigorrilho,3900.0,3,216
Bom-Retiro,1650.0,1,37
Boqueirao,1700.0,3,117
Boqueirao,1860.0,3,145
Boqueirao,1100.0,1,40
Boqueirao,620.0,1,40
Boqueirao,800.0,1,35
Boqueirao,900.0,2,75
Boqueirao,1100.0,2,56
Boqueirao,800.0,1,45
Boqueirao,850.0,1,45
Boqueirao,700.0,2,70
Boqueirao,850.0,3,60
Boqueirao,1200.0,2,64
Boqueirao,850.0,3,60
Boqueirao,850.0,2,75
Boqueirao,850.0,2,75
Boqueirao,650.0,1,42
Boqueirao,750.0,2,42
Boqueirao,800.0,3,80
Cabral,1554.0,3,80
Cabral,1200.0,1,57
Cabral,1300.0,3,58
Cabral,2350.0,3,67
Cabral,2580.0,3,120
Cabral,1350.0,1,60
Cabral,3250.0,3,120
Cabral,1650.0,3,77
Cabral,6000.0,3,274
Cabral,1550.0,3,120
Cabral,1200.0,2,85
Cabral,2900.0,2,79
Cabral,1900.0,3,104
Cabral,1150.0,2,90
Cabral,1400.0,1,42
Cabral,1200.0,2,70
Cabral,1450.0,3,115
Cachoeira,750.0,2,45
Cajuru,800.0,2,44
Cajuru,819.0,1,38
Cajuru,1200.0,2,47
Cajuru,2500.0,4,300
Cajuru,1250.0,1,40
Cajuru,1250.0,1,40
Cajuru,620.0,1,75
Cajuru,850.0,2,134
Cajuru,1230.0,1,110
Cajuru,1480.0,2,50
Cajuru,1000.0,2,65
,1100.0,,
Campo-Comprido,1133.0,2,50
Campo-Comprido,1480.0,3,102
Campo-Comprido,800.0,2,45
Campo-Comprido,1000.0,2,43
Campo-Comprido,750.0,3,47
Campo-Comprido,1200.0,2,51
Campo-Comprido,500.0,1,30
Campo-Comprido,800.0,3,60
Campo-Comprido,600.0,1,25
Campo-Comprido,750.0,3,48
Campo-Comprido,690.0,2,49
Campo-Comprido,1200.0,3,71
Campo-de-Santana,850.0,2,48
Capao-Raso,1290.0,2,68
Capao-Raso,1200.0,3,58
Capao-Raso,1990.0,3,87
Capao-Raso,790.0,2,52
Capao-Raso,1950.0,3,78
Capao-Raso,1800.0,,82
Capao-Raso,1500.0,2,46
Capao-Raso,2200.0,2,59
Capao-Raso,1000.0,2,53
Capao-Raso,3900.0,5,350
Capao-Raso,1500.0,3,100
Capao-Raso,1000.0,2,50
Capao-Raso,1750.0,3,64
Capao-Raso,2700.0,4,236
Capao-Raso,700.0,3,64
Capao-Raso,800.0,2,60
Capao-da-Imbuia,2750.0,4,130
Capao-da-Imbuia,2575.0,3,185
Capao-da-Imbuia,1530.0,2,111
Capao-da-Imbuia,1100.0,2,95
Capao-da-Imbuia,1700.0,,157
Capao-da-Imbuia,1700.0,,157
Capao-da-Imbuia,8000.0,2,100
Centro,1088.0,1,27
Centro,1340.0,1,29
Centro,850.0,1,21
Centro,1600.0,1,39
Centro,900.0,2,49
Centro,1350.0,3,170
Centro,900.0,1,55
Centro,2000.0,1,39
Centro,1200.0,2,62
Centro,2317.0,2,123
Centro,2200.0,3,114
Centro,695.0,1,32
Centro,1150.0,1,17
Centro,3500.0,3,513
Centro,1200.0,1,38
Centro,1751.0,1,44
Centro,1200.0,1,30
Centro,750.0,1,34
Centro,590.0,1,20
Centro,670.0,1,35
Centro,3700.0,4,210
Centro,1150.0,1,60
Centro,890.0,1,32
Centro,750.0,1,35
Centro,990.0,1,52
Centro,1750.0,1,31
Centro,1750.0,1,35
Centro,3500.0,1,35
Centro,4500.0,2,65
Centro,3000.0,2,50
Centro,2800.0,2,70
Centro,700.0,1,29
Centro,900.0,1,27
Centro,720.0,1,39
Centro,2650.0,1,50
Centro,3000.0,1,48
Centro,900.0,2,47
Centro,540.0,1,40
Centro,700.0,1,33
Centro,700.0,1,28
Centro,900.0,1,32
Centro,737.0,2,40
Centro,890.0,1,60
Centro,1280.0,1,43
Centro,1280.0,1,43
Centro,1500.0,1,48
Centro,900.0,1,29
Centro,690.0,1,27
Centro-Civico,799.0,1,35
Centro-Civico,700.0,1,35
Centro-Civico,1650.0,1,29
Centro-Civico,2200.0,1,35
Centro-Civico,1650.0,1,29
Centro-Civico,3000.0,2,48
Centro-Civico,2200.0,1,35
Centro-Civico,4000.0,2,78
Centro-Civico,4000.0,2,64
Centro-Civico,3500.0,2,50
Centro-Civico,1650.0,1,29
Centro-Civico,1000.0,1,25
Centro-Civico,2200.0,1,35
Centro-Civico,1900.0,2,57
Centro-Civico,19900.0,,500
Centro-Civico,1650.0,1,29
Centro-Civico,1650.0,1,29
Centro-Civico,1650.0,1,29
Centro-Civico,3000.0,1,32
Centro-Civico,6000.0,4,330
Centro-Civico,1250.0,1,44
Centro-Civico,1100.0,1,33
Champagnat,2800.0,3,193
Champagnat,530000.0,2,82
