bairro,precos,quartos,areas,IDHM,regional
Centro,900.0,1.0,55.0,0.932,Regional matriz
Centro,2000.0,1.0,39.0,0.932,Regional matriz
Centro,1200.0,2.0,62.0,0.932,Regional matriz
Centro,2317.0,2.0,123.0,0.932,Regional matriz
Centro,2200.0,3.0,114.0,0.932,Regional matriz
Centro,695.0,1.0,32.0,0.932,Regional matriz
Centro,1150.0,1.0,17.0,0.932,Regional matriz
Centro,1200.0,1.0,38.0,0.932,Regional matriz
Centro,1751.0,1.0,44.0,0.932,Regional matriz
Centro,1200.0,1.0,30.0,0.932,Regional matriz
Centro,750.0,1.0,34.0,0.932,Regional matriz
Centro,590.0,1.0,20.0,0.932,Regional matriz
Centro,670.0,1.0,35.0,0.932,Regional matriz
Centro,1150.0,1.0,60.0,0.932,Regional matriz
Centro,890.0,1.0,32.0,0.932,Regional matriz
Centro,750.0,1.0,35.0,0.932,Regional matriz
Centro,990.0,1.0,52.0,0.932,Regional matriz
Centro,1750.0,1.0,31.0,0.932,Regional matriz
Centro,1750.0,1.0,35.0,0.932,Regional matriz
Centro,3000.0,2.0,50.0,0.932,Regional matriz
Centro,2800.0,2.0,70.0,0.932,Regional matriz
Centro,700.0,1.0,29.0,0.932,Regional matriz
Centro,900.0,1.0,27.0,0.932,Regional matriz
Centro,720.0,1.0,39.0,0.932,Regional matriz
Centro,2650.0,1.0,50.0,0.932,Regional matriz
Centro,3000.0,1.0,48.0,0.932,Regional matriz
Centro,900.0,2.0,47.0,0.932,Regional matriz
Centro,540.0,1.0,40.0,0.932,Regional matriz
Centro,700.0,1.0,33.0,0.932,Regional matriz
Centro,700.0,1.0,28.0,0.932,Regional matriz
Centro,900.0,1.0,32.0,0.932,Regional matriz
Centro,737.0,2.0,40.0,0.932,Regional matriz
Centro,890.0,1.0,60.0,0.932,Regional matriz
Centro,1280.0,1.0,43.0,0.932,Regional matriz
Centro,1280.0,1.0,43.0,0.932,Regional matriz
Centro,1500.0,1.0,48.0,0.932,Regional matriz
Centro,900.0,1.0,29.0,0.932,Regional matriz
Centro,690.0,1.0,27.0,0.932,Regional matriz
Centro civico,799.0,1.0,35.0,0.933,Regional matriz
Centro civico,700.0,1.0,35.0,0.933,Regional matriz
Centro civico,1650.0,1.0,29.0,0.933,Regional matriz
Centro civico,2200.0,1.0,35.0,0.933,Regional matriz
Centro civico,1650.0,1.0,29.0,0.933,Regional matriz
Centro civico,3000.0,2.0,48.0,0.933,Regional matriz
Centro civico,2200.0,1.0,35.0,0.933,Regional matriz
Centro civico,1650.0,1.0,29.0,0.933,Regional matriz
Centro civico,1000.0,1.0,25.0,0.933,Regional matriz
Centro civico,2200.0,1.0,35.0,0.933,Regional matriz
Centro civico,1900.0,2.0,57.0,0.933,Regional matriz
Centro civico,1650.0,1.0,29.0,0.933,Regional matriz
Centro civico,1650.0,1.0,29.0,0.933,Regional matriz
Centro civico,1650.0,1.0,29.0,0.933,Regional matriz
Centro civico,3000.0,1.0,32.0,0.933,Regional matriz
Centro civico,1250.0,1.0,44.0,0.933,Regional matriz
Centro civico,1100.0,1.0,33.0,0.933,Regional matriz
Cidade industrial,650.0,2.0,46.0,0.775,Regional cic
Cidade industrial,1800.0,,112.0,0.775,Regional cic
Cidade industrial,1100.0,2.0,46.0,0.775,Regional cic
Cidade industrial,950.0,3.0,45.0,0.775,Regional cic
Cidade industrial,1550.0,2.0,51.0,0.775,Regional cic
Cidade industrial,750.0,3.0,47.0,0.775,Regional cic
Cidade industrial,1650.0,2.0,60.0,0.775,Regional cic
Cidade industrial,1679.0,2.0,50.0,0.775,Regional cic
Cidade industrial,1000.0,3.0,45.0,0.775,Regional cic
Cidade industrial,550.0,2.0,47.0,0.775,Regional cic
Cidade industrial,1649.0,1.0,47.0,0.775,Regional cic
Cidade industrial,850.0,2.0,47.0,0.775,Regional cic
Cidade industrial,1050.0,2.0,42.0,0.775,Regional cic
Cidade industrial,950.0,3.0,42.0,0.775,Regional cic
Cidade industrial,1000.0,2.0,60.0,0.775,Regional cic
Cidade industrial,653.0,2.0,50.0,0.775,Regional cic
Cidade industrial,750.0,2.0,53.0,0.775,Regional cic
Cidade industrial,1000.0,2.0,40.0,0.775,Regional cic
Cidade industrial,920.0,2.0,42.0,0.775,Regional cic
Cidade industrial,1000.0,1.0,33.0,0.775,Regional cic
Cidade industrial,1037.0,2.0,62.0,0.775,Regional cic
Cidade industrial,1318.0,5.0,102.0,0.775,Regional cic
Cidade industrial,3200.0,2.0,50.0,0.775,Regional cic
Cidade industrial,1040.0,2.0,46.0,0.775,Regional cic
Cidade industrial,1635.0,1.0,20.0,0.775,Regional cic
Cidade industrial,793.0,2.0,46.0,0.775,Regional cic
Cidade industrial,625.0,2.0,47.0,0.775,Regional cic
Cidade industrial,1429.0,1.0,50.0,0.775,Regional cic
Cidade industrial,760.0,2.0,46.0,0.775,Regional cic
Cidade industrial,1431.0,2.0,46.0,0.775,Regional cic
Cidade industrial,1100.0,2.0,50.0,0.775,Regional cic
Cidade industrial,780.0,1.0,30.0,0.775,Regional cic
Cidade industrial,500.0,2.0,44.0,0.775,Regional cic
Cidade industrial,750.0,3.0,46.0,0.775,Regional cic
Cidade industrial,750.0,2.0,42.0,0.775,Regional cic
Cidade industrial,800.0,2.0,40.0,0.775,Regional cic
Cidade industrial,750.0,1.0,49.0,0.775,Regional cic
Cidade industrial,650.0,1.0,66.0,0.775,Regional cic
Cidade industrial,650.0,2.0,74.0,0.775,Regional cic
Cidade industrial,500.0,2.0,40.0,0.775,Regional cic
Cidade industrial,750.0,2.0,64.0,0.775,Regional cic
Cristo rei,1200.0,2.0,55.0,0.929,Regional matriz
Cristo rei,3200.0,3.0,78.0,0.929,Regional matriz
Cristo rei,2550.0,2.0,66.0,0.929,Regional matriz
Cristo rei,1800.0,3.0,104.0,0.929,Regional matriz
Cristo rei,1450.0,1.0,32.0,0.929,Regional matriz
Cristo rei,1190.0,1.0,25.0,0.929,Regional matriz
Cristo rei,650.0,1.0,50.0,0.929,Regional matriz
Cristo rei,2100.0,3.0,113.0,0.929,Regional matriz
Cristo rei,1050.0,2.0,49.0,0.929,Regional matriz
Cristo rei,1090.0,1.0,25.0,0.929,Regional matriz
Cristo rei,1600.0,3.0,117.0,0.929,Regional matriz
Cristo rei,1250.0,3.0,97.0,0.929,Regional matriz
Cristo rei,1190.0,1.0,33.0,0.929,Regional matriz
Cristo rei,1190.0,1.0,25.0,0.929,Regional matriz
Cristo rei,1100.0,1.0,38.0,0.929,Regional matriz
Cristo rei,990.0,1.0,24.0,0.929,Regional matriz
Cristo rei,1190.0,1.0,24.0,0.929,Regional matriz
Cristo rei,1190.0,1.0,24.0,0.929,Regional matriz
Cristo rei,1190.0,1.0,25.0,0.929,Regional matriz
Cristo rei,990.0,1.0,24.0,0.929,Regional matriz
Cristo rei,1200.0,3.0,70.0,0.929,Regional matriz
Cristo rei,1200.0,3.0,70.0,0.929,Regional matriz
Cristo rei,1450.0,3.0,128.0,0.929,Regional matriz
Cristo rei,1300.0,1.0,50.0,0.929,Regional matriz
Cristo rei,900.0,2.0,60.0,0.929,Regional matriz
Cristo rei,1990.0,3.0,150.0,0.929,Regional matriz
Cristo rei,1200.0,3.0,75.0,0.929,Regional matriz
Cristo rei,1080.0,1.0,50.0,0.929,Regional matriz
Cristo rei,1650.0,1.0,44.0,0.929,Regional matriz
Cristo rei,1200.0,2.0,40.0,0.929,Regional matriz
Cristo rei,1250.0,2.0,80.0,0.929,Regional matriz
Cristo rei,1490.0,3.0,87.0,0.929,Regional matriz
Cristo rei,950.0,2.0,66.0,0.929,Regional matriz
Cristo rei,1200.0,1.0,68.0,0.929,Regional matriz
Cristo rei,1200.0,2.0,61.0,0.929,Regional matriz
Cristo rei,1500.0,3.0,93.0,0.929,Regional matriz
Cristo rei,900.0,2.0,60.0,0.929,Regional matriz
Cristo rei,650.0,1.0,40.0,0.929,Regional matriz
Cristo rei,750.0,1.0,25.0,0.929,Regional matriz
Fanny,1280.0,1.0,50.0,0.851,Regional pinheirinho
Fanny,800.0,1.0,35.0,0.851,Regional pinheirinho
Fanny,1340.0,2.0,55.0,0.851,Regional pinheirinho
Fanny,880.0,2.0,52.0,0.851,Regional pinheirinho
Fanny,1000.0,2.0,46.0,0.851,Regional pinheirinho
Fanny,690.0,2.0,70.0,0.851,Regional pinheirinho
Fazendinha,850.0,1.0,40.0,0.813,Regional portao
Fazendinha,550.0,3.0,53.0,0.813,Regional portao
Fazendinha,1200.0,3.0,60.0,0.813,Regional portao
Fazendinha,1100.0,2.0,44.0,0.813,Regional portao
Fazendinha,780.0,2.0,30.0,0.813,Regional portao
Fazendinha,2091.0,3.0,89.0,0.813,Regional portao
Fazendinha,780.0,2.0,30.0,0.813,Regional portao
Fazendinha,637.0,1.0,30.0,0.813,Regional portao
Fazendinha,850.0,3.0,58.0,0.813,Regional portao
Fazendinha,950.0,3.0,57.0,0.813,Regional portao
Fazendinha,700.0,2.0,44.0,0.813,Regional portao
Fazendinha,580.0,1.0,53.0,0.813,Regional portao
Fazendinha,700.0,3.0,58.0,0.813,Regional portao
Fazendinha,950.0,2.0,56.0,0.813,Regional portao
Guabirotuba,1100.0,3.0,60.0,0.897,Regional cajuru
Guabirotuba,1100.0,1.0,50.0,0.897,Regional cajuru
Guabirotuba,750.0,3.0,64.0,0.897,Regional cajuru
Guabirotuba,400.0,1.0,33.0,0.897,Regional cajuru
Guabirotuba,450.0,1.0,33.0,0.897,Regional cajuru
Guaira,1400.0,1.0,28.0,0.761,Regional portao
Guaira,1200.0,1.0,28.0,0.761,Regional portao
Guaira,1200.0,2.0,64.0,0.761,Regional portao
Guaira,1200.0,1.0,73.0,0.761,Regional portao
Hauer,1250.0,3.0,100.0,0.817,Regional boqueirao
Hauer,699.0,2.0,52.0,0.817,Regional boqueirao
Hauer,900.0,3.0,58.0,0.817,Regional boqueirao
Hauer,500.0,1.0,42.0,0.817,Regional boqueirao
Hauer,750.0,1.0,50.0,0.817,Regional boqueirao
Hauer,950.0,1.0,65.0,0.817,Regional boqueirao
Hauer,699.0,2.0,40.0,0.817,Regional boqueirao
Hauer,1160.0,3.0,65.0,0.817,Regional boqueirao
Hugo lange,743.0,1.0,51.0,0.954,Regional matriz
Hugo lange,1600.0,3.0,75.0,0.954,Regional matriz
Hugo lange,1600.0,3.0,75.0,0.954,Regional matriz
Jardim botanico,650.0,1.0,29.0,0.776,Regional matriz
Jardim botanico,1300.0,3.0,140.0,0.776,Regional matriz
Jardim botanico,1500.0,3.0,140.0,0.776,Regional matriz
Jardim botanico,1400.0,3.0,140.0,0.776,Regional matriz
Jardim botanico,1343.0,3.0,89.0,0.776,Regional matriz
Jardim botanico,2144.0,2.0,250.0,0.776,Regional matriz
Jardim botanico,1200.0,1.0,30.0,0.776,Regional matriz
Jardim botanico,900.0,2.0,62.0,0.776,Regional matriz
Jardim botanico,1200.0,3.0,71.0,0.776,Regional matriz
Jardim das americas,1105.0,1.0,32.0,0.897,Regional cajuru
Jardim das americas,1600.0,1.0,32.0,0.897,Regional cajuru
Jardim das americas,2300.0,2.0,140.0,0.897,Regional cajuru
Jardim das americas,3200.0,3.0,200.0,0.897,Regional cajuru
Jardim social,975.0,2.0,80.0,0.954,Regional matriz
Jardim social,1500.0,1.0,49.0,0.954,Regional matriz
Jardim social,2500.0,2.0,72.0,0.954,Regional matriz
Jardim social,3000.0,3.0,104.0,0.954,Regional matriz
Jardim social,1100.0,2.0,74.0,0.954,Regional matriz
Jardim social,1100.0,2.0,74.0,0.954,Regional matriz
Juveve,1600.0,3.0,75.0,0.949,Regional matriz
Juveve,714.0,1.0,36.0,0.949,Regional matriz
Juveve,1070.0,3.0,110.0,0.949,Regional matriz
Juveve,2500.0,2.0,60.0,0.949,Regional matriz
Juveve,950.0,1.0,60.0,0.949,Regional matriz
Juveve,1680.0,3.0,135.0,0.949,Regional matriz
Juveve,1600.0,1.0,40.0,0.949,Regional matriz
Juveve,2500.0,2.0,60.0,0.949,Regional matriz
Juveve,2500.0,2.0,60.0,0.949,Regional matriz
Juveve,1600.0,1.0,40.0,0.949,Regional matriz
Juveve,1600.0,1.0,40.0,0.949,Regional matriz
Juveve,1100.0,2.0,89.0,0.949,Regional matriz
Lindoia,800.0,1.0,25.0,0.783,Regional pinheirinho
Lindoia,1120.0,1.0,30.0,0.783,Regional pinheirinho
Lindoia,1645.0,2.0,51.0,0.783,Regional pinheirinho
Lindoia,1659.0,2.0,51.0,0.783,Regional pinheirinho
Merces,990.0,1.0,50.0,0.916,Regional matriz
Merces,1600.0,1.0,47.0,0.916,Regional matriz
Merces,1600.0,1.0,47.0,0.916,Regional matriz
Merces,2300.0,3.0,120.0,0.916,Regional matriz
Merces,1650.0,2.0,99.0,0.916,Regional matriz
Merces,930.0,1.0,44.0,0.916,Regional matriz
Merces,930.0,1.0,44.0,0.916,Regional matriz
Merces,1500.0,3.0,110.0,0.916,Regional matriz
Merces,1500.0,3.0,110.0,0.916,Regional matriz
Merces,700.0,1.0,40.0,0.916,Regional matriz
Merces,720.0,1.0,40.0,0.916,Regional matriz
Merces,1300.0,1.0,22.0,0.916,Regional matriz
Merces,1200.0,1.0,20.0,0.916,Regional matriz
Merces,1250.0,1.0,22.0,0.916,Regional matriz
Merces,1800.0,1.0,35.0,0.916,Regional matriz
Merces,1650.0,3.0,114.0,0.916,Regional matriz
Mossungue,850.0,3.0,67.0,0.925,Regional santa felicidade
Mossungue,1200.0,2.0,62.0,0.925,Regional santa felicidade
Mossungue,2950.0,2.0,121.0,0.925,Regional santa felicidade
Novo mundo,1000.0,2.0,60.0,0.79,Regional pinheirinho
Novo mundo,2060.0,2.0,63.0,0.79,Regional pinheirinho
Novo mundo,1200.0,2.0,61.0,0.79,Regional pinheirinho
Novo mundo,790.0,3.0,57.0,0.79,Regional pinheirinho
Novo mundo,500.0,2.0,52.0,0.79,Regional pinheirinho
Novo mundo,1435.0,2.0,60.0,0.79,Regional pinheirinho
Novo mundo,900.0,3.0,90.0,0.79,Regional pinheirinho
Novo mundo,950.0,3.0,59.0,0.79,Regional pinheirinho
Novo mundo,920.0,3.0,76.0,0.79,Regional pinheirinho
Novo mundo,950.0,2.0,47.0,0.79,Regional pinheirinho
Novo mundo,830.0,1.0,45.0,0.79,Regional pinheirinho
Novo mundo,1250.0,3.0,122.0,0.79,Regional pinheirinho
Novo mundo,1200.0,2.0,45.0,0.79,Regional pinheirinho
Novo mundo,860.0,1.0,25.0,0.79,Regional pinheirinho
Novo mundo,1050.0,3.0,60.0,0.79,Regional pinheirinho
Novo mundo,850.0,1.0,28.0,0.79,Regional pinheirinho
Novo mundo,2130.0,3.0,162.0,0.79,Regional pinheirinho
Novo mundo,850.0,1.0,33.0,0.79,Regional pinheirinho
Novo mundo,1300.0,1.0,36.0,0.79,Regional pinheirinho
Novo mundo,750.0,3.0,57.0,0.79,Regional pinheirinho
Novo mundo,850.0,1.0,28.0,0.79,Regional pinheirinho
Novo mundo,900.0,1.0,25.0,0.79,Regional pinheirinho
Novo mundo,900.0,1.0,25.0,0.79,Regional pinheirinho
Novo mundo,900.0,3.0,67.0,0.79,Regional pinheirinho
Novo mundo,1000.0,3.0,65.0,0.79,Regional pinheirinho
Novo mundo,800.0,2.0,47.0,0.79,Regional pinheirinho
Orleans,1400.0,2.0,50.0,0.833,Regional santa felicidade
Orleans,1400.0,2.0,50.0,0.833,Regional santa felicidade
Parolin,800.0,2.0,60.0,0.788,Regional portao
Pilarzinho,2100.0,2.0,59.0,0.801,Regional boa vista
Pilarzinho,790.0,3.0,64.0,0.801,Regional boa vista
Pilarzinho,700.0,1.0,40.0,0.801,Regional boa vista
Pilarzinho,950.0,2.0,80.0,0.801,Regional boa vista
Pilarzinho,2350.0,3.0,170.0,0.801,Regional boa vista
Pilarzinho,995.0,1.0,60.0,0.801,Regional boa vista
Pilarzinho,880.0,2.0,80.0,0.801,Regional boa vista
Pilarzinho,829.0,1.0,30.0,0.801,Regional boa vista
Pilarzinho,1400.0,3.0,127.0,0.801,Regional boa vista
Pinheirinho,700.0,2.0,73.0,0.785,Regional pinheirinho
Pinheirinho,1300.0,2.0,51.0,0.785,Regional pinheirinho
Pinheirinho,650.0,2.0,53.0,0.785,Regional pinheirinho
